SMILES_x,Original_SMILES,O_ATSC1pe,O_MATS2c,O_SlogP_VSA2,SMILES_y,P_ATSC1pe,P_MATS2c,P_SlogP_VSA2,AvgSimilarity,SMILES,ATSC1pe,MATS2c,SlogP_VSA2
CC=C(F)CC=NCN,FCN(O)CCOCN,-0.242344,0.060847703,12.88329177,FCN(O)CCOCN,-0.193,0.095,18.984,0.705176737,CC=C(F)CC=NCN,-0.242344,0.060847703,12.88329177
C=CC(F)CCNC=N,FCN(O)CCOCN,-0.242344,0.045915062,19.05496716,FCN(O)CCOCN,-0.193,0.095,18.984,0.758660235,C=CC(F)CCNC=N,-0.242344,0.045915062,19.05496716
CCC(F)=CCNC=O,FCN(O)CCOCN,-0.137229363,0.099486741,12.95485171,FCN(O)CCOCN,-0.193,0.095,18.984,0.782781014,CCC(F)=CCNC=O,-0.137229363,0.099486741,12.95485171
CCC(F)=CC=NCO,FCN(O)CCOCN,-0.262703047,0.048680067,18.05194472,FCN(O)CCOCN,-0.193,0.095,18.984,0.732664897,CCC(F)=CC=NCO,-0.262703047,0.048680067,18.05194472
CCC(F)CCOCN,FCN(O)CCOCN,-0.181331191,0.034757725,19.50937411,FCN(O)CCOCN,-0.193,0.095,18.984,0.759493775,CCC(F)CCOCN,-0.181331191,0.034757725,19.50937411
CC(C=CN=CN)CN,FCN(O)CCOCN,-0.3626,0.09401759,12.88329177,FCN(O)CCOCN,-0.193,0.095,18.984,0.733521758,CC(C=CN=CN)CN,-0.3626,0.09401759,12.88329177
CC(=C=CNCO)CN,FCN(O)CCOCN,-0.522096145,0.083551335,18.38210055,FCN(O)CCOCN,-0.193,0.095,18.984,0.739148611,CC(=C=CNCO)CN,-0.522096145,0.083551335,18.38210055
CC(=C=N)CCOCN,FCN(O)CCOCN,-0.264962812,0.041893162,19.20749778,FCN(O)CCOCN,-0.193,0.095,18.984,0.719249598,CC(=C=N)CCOCN,-0.264962812,0.041893162,19.20749778
NC=NCC=C(N)CN,FCN(O)CCOCN,-0.674511111,0.102237908,19.42804817,FCN(O)CCOCN,-0.193,0.095,18.984,0.730827456,NC=NCC=C(N)CN,-0.674511111,0.102237908,19.42804817
CN(C=C=CCN)CN,NOCCCN(N)CF,-0.294,0.002348488,25.16102931,NOCCCN(N)CF,-0.292,0.001,21.059,0.751990694,CN(C=C=CCN)CN,-0.294,0.002348488,25.16102931
CC(=C=O)CCNCN,FCN(O)CCOCN,-0.309343764,0.059829577,19.1548066,FCN(O)CCOCN,-0.193,0.095,18.984,0.74825641,CC(=C=O)CCNCN,-0.309343764,0.059829577,19.1548066
CC(C=O)CCN=CO,FCN(O)CCOCN,-0.208721,0.038033749,24.33810525,FCN(O)CCOCN,-0.193,0.095,18.984,0.701682008,CC(C=O)CCN=CO,-0.208721,0.038033749,24.33810525
CC(=CCNC=N)CF,FCN(O)CCOCN,-0.242344,0.031980056,19.55788274,FCN(O)CCOCN,-0.193,0.095,18.984,0.701225996,CC(=CCNC=N)CF,-0.242344,0.031980056,19.55788274
C/N=C/N,C/N=C/F,-0.190904,0.148541155,13.38620735,C/N=C/F,-0.193,0.095,18.984,0.777941438,C/N=C/N,-0.190904,0.148541155,13.38620735
C/C=C/OCCCCOC,CNCCOCN/C=C/O,0.239936686,-0.211471172,20.32356147,CNCCOCN/C=C/O,0.341,-0.376,23.068,0.715692768,C/C=C/OCCCCOC,0.239936686,-0.211471172,20.32356147
CCCCCNCN,CNCCCNNO,-0.17425625,0.067171014,13.21344759,CNCCCNNO,-0.193,0.095,18.984,0.768658722,CCCCCNCN,-0.17425625,0.067171014,13.21344759
C=CC=CCNCN,CNCCCNNO,-0.224861,0.069938627,13.21344759,CNCCCNNO,-0.193,0.095,18.984,0.763511612,C=CC=CCNCN,-0.224861,0.069938627,13.21344759
CCCC=C=NCN,CNCCCNNO,-0.132251,0.093348619,12.53849025,CNCCCNNO,-0.193,0.095,18.984,0.776110703,CCCC=C=NCN,-0.132251,0.093348619,12.53849025
CCCC=CN=CO,CNCCCNNO,-0.149,0.083173521,11.50718832,CNCCCNNO,-0.193,0.095,18.984,0.751227802,CCCC=CN=CO,-0.149,0.083173521,11.50718832
C=NCCCCN=C,NNCCCCNO,0.131859,-0.348176703,26.52454512,NNCCCCNO,0.341,-0.376,23.068,0.72745673,C=NCCCCN=C,0.131859,-0.348176703,26.52454512
CNCCCCNO,NNCCCCNO,0.155153926,-0.277622072,25.34443782,NNCCCCNO,0.341,-0.376,23.068,0.701177803,CNCCCCNO,0.155153926,-0.277622072,25.34443782
C=NCC=CCNO,NNCCCCNO,0.158610802,-0.35322056,25.01428199,NNCCCCNO,0.341,-0.376,23.068,0.77558129,C=NCC=CCNO,0.158610802,-0.35322056,25.01428199
CNCCCCNF,NNCCCCNO,0.547048753,-0.241656844,20.13718479,NNCCCCNO,0.341,-0.376,23.068,0.712999354,CNCCCCNF,0.547048753,-0.241656844,20.13718479
CNCCCCOO,NNCCCCNO,0.596969388,-0.28375116,25.45654575,NNCCCCNO,0.341,-0.376,23.068,0.744015853,CNCCCCOO,0.596969388,-0.28375116,25.45654575
CNC=C=CCOO,NNCCCCNO,0.449291003,-0.287853496,18.91178934,NNCCCCNO,0.341,-0.376,23.068,0.781456419,CNC=C=CCOO,0.449291003,-0.287853496,18.91178934
CNCC=CN=CN,CNCCCNNO,-0.223296122,0.041984782,19.93096375,CNCCCNNO,-0.193,0.095,18.984,0.752918668,CNCC=CN=CN,-0.223296122,0.041984782,19.93096375
COCCCCNF,NNCCCCNO,0.65433475,-0.275761201,20.26143591,NNCCCCNO,0.341,-0.376,23.068,0.710960871,COCCCCNF,0.65433475,-0.275761201,20.26143591
COCCCCOC,NNCCCCNO,0.232323967,-0.286038353,27.43335901,NNCCCCNO,0.341,-0.376,23.068,0.760972106,COCCCCOC,0.232323967,-0.286038353,27.43335901
COC=C=CCOC,NNCCCCNO,0.160958025,-0.278701875,20.82647705,NNCCCCNO,0.341,-0.376,23.068,0.705358608,COC=C=CCOC,0.160958025,-0.278701875,20.82647705
COCCCCOO,NNCCCCNO,0.67900275,-0.302810657,25.58079686,NNCCCCNO,0.341,-0.376,23.068,0.736441592,COCCCCOO,0.67900275,-0.302810657,25.58079686
COC=CC=COO,NNCCCCNO,0.502227734,-0.365215434,12.36703294,NNCCCCNO,0.341,-0.376,23.068,0.728801517,COC=CC=COO,0.502227734,-0.365215434,12.36703294
CN=C=NC=C1CCC=C1N,C1(CO/C=N/C)NNC=C1F,-0.130963636,0.120544802,13.05605152,C1(CO/C=N/C)NNC=C1F,-0.193,0.095,18.984,0.718132184,CN=C=NC=C1CCC=C1N,-0.130963636,0.120544802,13.05605152
CN=C=NCC1=CCC=C1O,C1(CO/C=N/C)NNC=C1F,-0.166352381,0.066574873,24.70733532,C1(CO/C=N/C)NNC=C1F,-0.193,0.095,18.984,0.777024129,CN=C=NCC1=CCC=C1O,-0.166352381,0.066574873,24.70733532
CNC(C)NCCCCCN,C(N)CCCNNC(OC)C,-0.179539062,0.048227841,26.30296041,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.719886514,CNC(C)NCCCCCN,-0.179539062,0.048227841,26.30296041
C=C(NC)NCCC=CCN,C(N)CCCNNC(OC)C,-0.2412,0.177996537,20.13718479,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.75887255,C=C(NC)NCCC=CCN,-0.2412,0.177996537,20.13718479
C=NC(C)NC=CCCCN,C(N)CCCNNC(OC)C,-0.1481,0.049309599,19.42804817,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.75451663,C=NC(C)NC=CCCCN,-0.1481,0.049309599,19.42804817
COC(C)NC=CC=CCN,C(N)CCCNNC(OC)C,-0.139862689,0.061090452,19.88245512,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.774182064,COC(C)NC=CC=CCN,-0.139862689,0.061090452,19.88245512
C=C(NCC=CCCN)OC,C(N)CCCNNC(OC)C,-0.139862689,0.1634946,20.19931035,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.748523386,C=C(NCC=CCCN)OC,-0.139862689,0.1634946,20.19931035
CNC(C)OC=CCC=CN,C(N)CCCNNC(OC)C,-0.139862689,0.06551655,13.27557315,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.704542767,CNC(C)OC=CCC=CN,-0.139862689,0.06551655,13.27557315
CNC(C)NC=CCC=CO,C(N)CCCNNC(OC)C,-0.279862689,0.049469118,18.31997499,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.72512444,CNC(C)NC=CCC=CO,-0.279862689,0.049469118,18.31997499
CN=C(C)NCC=CCCO,C(N)CCCNNC(OC)C,-0.176055281,0.061730501,31.14145753,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.723867883,CN=C(C)NCC=CCCO,-0.176055281,0.061730501,31.14145753
C=C(NC)NCCC=CCO,C(N)CCCNNC(OC)C,-0.279862689,0.137337829,25.30583775,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.710510489,C=C(NC)NCCC=CCO,-0.279862689,0.137337829,25.30583775
COC(C)NC=C=CCCO,C(N)CCCNNC(OC)C,-0.179798225,0.043421511,25.05110807,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.715492115,COC(C)NC=C=CCCO,-0.179798225,0.043421511,25.05110807
COC(C)NC=CCC=CO,C(N)CCCNNC(OC)C,-0.179798225,0.040746416,18.44422611,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.777357855,COC(C)NC=CCC=CO,-0.179798225,0.040746416,18.44422611
CNC(C)OC=CCC=CO,C(N)CCCNNC(OC)C,-0.179798225,0.03982232,18.38210055,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.773024573,CNC(C)OC=CCC=CO,-0.179798225,0.03982232,18.38210055
C=C(NC)NCCC=CCF,C(N)CCCNNC(OC)C,-0.140839053,0.161269015,20.26701936,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.751836025,C=C(NC)NCCC=CCF,-0.140839053,0.161269015,20.26701936
CNC(C)NC=CC=CCF,C(N)CCCNNC(OC)C,-0.140839053,0.044175974,19.88803857,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.71642996,CNC(C)NC=CC=CCF,-0.140839053,0.044175974,19.88803857
CNC(C)NC=CCC=CF,C(N)CCCNNC(OC)C,-0.140839053,0.08472683,13.21344759,C(N)CCCNNC(OC)C,-0.193,0.095,18.984,0.772542712,CNC(C)NC=CCC=CF,-0.140839053,0.08472683,13.21344759
C=C=CCNCCCN=C=N,N=CCONCCC/N=C/O,-0.107936111,0.001075884,25.64264875,N=CCONCCC/N=C/O,-0.292,0.001,21.059,0.706787084,C=C=CCNCCCN=C=N,-0.107936111,0.001075884,25.64264875
CC=C=CCCONC=C=N,CO/N=C/CCNNCC=N,0.32191569,-0.326500838,12.47668103,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.784417629,CC=C=CCCONC=C=N,0.32191569,-0.326500838,12.47668103
CC=C=CC=CNOCC=O,CO/N=C/CCNNCC=N,0.393742149,-0.413614198,12.89304249,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.77800778,CC=C=CC=CNOCC=O,0.393742149,-0.413614198,12.89304249
CN(C=C=CCN)CN,NOCCCN(N)CF,-0.294,0.002348488,25.16102931,NOCCCN(N)CF,-0.292,0.001,21.059,0.751990694,CN(C=C=CCN)CN,-0.294,0.002348488,25.16102931
CC=CCN=NC=C(C)C,CNCCNN/C=C(\F)/F,0.373488889,-0.3626894,6.544756406,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.720442573,CC=CCN=NC=C(C)C,0.373488889,-0.3626894,6.544756406
C=C=CCONC=C(C)F,CNCCNN/C=C(\F)/F,0.32792475,-0.406408327,6.606881965,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.724414338,C=C=CCONC=C(C)F,0.32792475,-0.406408327,6.606881965
CN=CC=NCC=C(C)C,CNCCNN/C=C(\F)/F,0.133388889,-0.340065257,26.02162955,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.727363976,CN=CC=NCC=C(C)C,0.133388889,-0.340065257,26.02162955
CNCCNNC=C(C)C,CNCCNN/C=C(\F)/F,0.185890809,-0.328421586,20.13718479,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.763848295,CNCCNNC=C(C)C,0.185890809,-0.328421586,20.13718479
C=NCCNN=C=C(C)F,CNCCNN/C=C(\F)/F,0.1265,-0.33301252,25.67682803,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.718345637,C=NCCNN=C=C(C)F,0.1265,-0.33301252,25.67682803
C=NCC=NOC=C(C)C,CNCCNN/C=C(\F)/F,0.622933264,-0.366221208,19.47687314,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.788575682,C=NCC=NOC=C(C)C,0.622933264,-0.366221208,19.47687314
C=NCC=NOC=C(C)O,CNCCNN/C=C(\F)/F,0.225351,-0.245645473,24.58340054,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.750840853,C=NCC=NOC=C(C)O,0.225351,-0.245645473,24.58340054
CNC=C=NOC=C(C)F,CNCCNN/C=C(\F)/F,0.245906094,-0.327832704,12.91747105,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.717667111,CNC=C=NOC=C(C)F,0.245906094,-0.327832704,12.91747105
CN=C=COCC=C(C)C,CNCCNN/C=C(\F)/F,0.17120397,-0.283942739,19.52435301,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.701204617,CN=C=COCC=C(C)C,0.17120397,-0.283942739,19.52435301
CNC=CON=C=C(C)C,CNCCNN/C=C(\F)/F,0.503328719,-0.325755675,12.91747105,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.701278244,CNC=CON=C=C(C)C,0.503328719,-0.325755675,12.91747105
CN=CCON=C=C(C)N,CNCCNN/C=C(\F)/F,0.290280045,-0.18887346,25.73895359,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.749937764,CN=CCON=C=C(C)N,0.290280045,-0.18887346,25.73895359
C=NCCON=C=C(C)N,CNCCNN/C=C(\F)/F,0.290280045,-0.20079963,25.73895359,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.76051061,C=NCCON=C=C(C)N,0.290280045,-0.20079963,25.73895359
CNCCOOC=C(C)C,CNCCNN/C=C(\F)/F,0.93538336,-0.369168039,20.19931035,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.740676111,CNCCOOC=C(C)C,0.93538336,-0.369168039,20.19931035
CNCCOOC=C(C)N,CNCCNN/C=C(\F)/F,0.603132639,-0.261022238,20.19931035,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.71174385,CNCCOOC=C(C)N,0.603132639,-0.261022238,20.19931035
CN=C=COOC=C(C)N,CNCCNN/C=C(\F)/F,0.567981,-0.362540163,12.91747105,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.708182786,CN=C=COOC=C(C)N,0.567981,-0.362540163,12.91747105
CNCCOOC=C(C)O,CNCCNN/C=C(\F)/F,0.526034594,-0.246361085,25.30583775,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.738343437,CNCCOOC=C(C)O,0.526034594,-0.246361085,25.30583775
CNCCOOC=C(C)F,CNCCNN/C=C(\F)/F,0.682810744,-0.405474965,20.19931035,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.767451969,CNCCOOC=C(C)F,0.682810744,-0.405474965,20.19931035
COCCCOC=C(C)C,CNCCNN/C=C(\F)/F,0.239936686,-0.230121645,20.32356147,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.732226875,COCCCOC=C(C)C,0.239936686,-0.230121645,20.32356147
COCCNOC=C(C)N,CNCCNN/C=C(\F)/F,0.247132639,-0.281362463,20.26143591,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.783789583,COCCNOC=C(C)N,0.247132639,-0.281362463,20.26143591
COCCNOC=C(C)O,CNCCNN/C=C(\F)/F,0.170034594,-0.268413652,25.36796331,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.707279059,COCCNOC=C(C)O,0.170034594,-0.268413652,25.36796331
COCCONC=C(C)N,CNCCNN/C=C(\F)/F,0.247132639,-0.256822494,20.32356147,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.762932008,COCCONC=C(C)N,0.247132639,-0.256822494,20.32356147
COCCOOC=C(C)C,CNCCNN/C=C(\F)/F,1.031553993,-0.402421451,20.32356147,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.715313793,COCCOOC=C(C)C,1.031553993,-0.402421451,20.32356147
COCCOOC=C(C)N,CNCCNN/C=C(\F)/F,0.666034594,-0.293470642,20.32356147,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.724506924,COCCOOC=C(C)N,0.666034594,-0.293470642,20.32356147
COCCOOC=C(C)O,CNCCNN/C=C(\F)/F,0.583317355,-0.27413977,25.43008887,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.74026566,COCCOOC=C(C)O,0.583317355,-0.27413977,25.43008887
COCCOOC=C(C)F,CNCCNN/C=C(\F)/F,0.760172562,-0.434282579,20.32356147,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.731802136,COCCOOC=C(C)F,0.760172562,-0.434282579,20.32356147
COCCOOC=C(N)F,CNCCNN/C=C(\F)/F,0.24720475,-0.248621165,20.32356147,CNCCNN/C=C(\F)/F,0.341,-0.376,23.068,0.755731816,COCCOOC=C(N)F,0.24720475,-0.248621165,20.32356147
C=C=CN=NCC,N/C=C/ONCN,0.344284889,-0.358393645,6.544756406,N/C=C/ONCN,0.341,-0.376,23.068,0.742449736,C=C=CN=NCC,0.344284889,-0.358393645,6.544756406
C/C=C/ON=C=O,N/C=C/ONCN,0.374422222,-0.361498418,6.07993948,N/C=C/ONCN,0.341,-0.376,23.068,0.711911487,C/C=C/ON=C=O,0.374422222,-0.361498418,6.07993948
CCON=C=C=N,N/C=C/ONCN,0.297371598,-0.238161452,18.34648009,N/C=C/ONCN,0.341,-0.376,23.068,0.766929083,CCON=C=C=N,0.297371598,-0.238161452,18.34648009
CC=NOC=C=N,N/C=C/ONCN,0.297371598,-0.332002282,12.08439964,N/C=C/ONCN,0.341,-0.376,23.068,0.759634047,CC=NOC=C=N,0.297371598,-0.332002282,12.08439964
CC=NOC=C=O,N/C=C/ONCN,0.374422222,-0.462610986,12.15595959,N/C=C/ONCN,0.341,-0.376,23.068,0.750158827,CC=NOC=C=O,0.374422222,-0.462610986,12.15595959
C=CCC=CCON,NNCCCCNO,0.3193,-0.375029779,6.606881965,NNCCCCNO,0.341,-0.376,23.068,0.740064075,C=CCC=CCON,0.3193,-0.375029779,6.606881965
C=NCCCC=NC,NNCCCCNO,0.131859,-0.339578893,26.52454512,NNCCCCNO,0.341,-0.376,23.068,0.719834559,C=NCCCC=NC,0.131859,-0.339578893,26.52454512
C=NCCCCN=C,NNCCCCNO,0.131859,-0.348176703,26.52454512,NNCCCCNO,0.341,-0.376,23.068,0.72745673,C=NCCCCN=C,0.131859,-0.348176703,26.52454512
CNCCCCNO,NNCCCCNO,0.155153926,-0.277622072,25.34443782,NNCCCCNO,0.341,-0.376,23.068,0.701177803,CNCCCCNO,0.155153926,-0.277622072,25.34443782
CN=CCC=CNO,NNCCCCNO,0.158610802,-0.363110837,18.46952559,NNCCCCNO,0.341,-0.376,23.068,0.743836775,CN=CCC=CNO,0.158610802,-0.363110837,18.46952559
C=NCC=CCNO,NNCCCCNO,0.158610802,-0.35322056,25.01428199,NNCCCCNO,0.341,-0.376,23.068,0.77558129,C=NCC=CCNO,0.158610802,-0.35322056,25.01428199
C=NC=CCCNO,NNCCCCNO,0.158610802,-0.346520594,18.46952559,NNCCCCNO,0.341,-0.376,23.068,0.729129113,C=NC=CCCNO,0.158610802,-0.346520594,18.46952559
CNCCCCNF,NNCCCCNO,0.547048753,-0.241656844,20.13718479,NNCCCCNO,0.341,-0.376,23.068,0.712999354,CNCCCCNF,0.547048753,-0.241656844,20.13718479
CN=CC=CCNF,NNCCCCNO,0.591293426,-0.305785404,19.80702897,NNCCCCNO,0.341,-0.376,23.068,0.749532492,CN=CC=CCNF,0.591293426,-0.305785404,19.80702897
C=NC=CCCOC,NNCCCCNO,0.1625,-0.334522348,20.43419566,NNCCCCNO,0.341,-0.376,23.068,0.750683672,C=NC=CCCOC,0.1625,-0.334522348,20.43419566
C=NCC=CCOC,NNCCCCNO,0.1625,-0.321595269,26.97895207,NNCCCCNO,0.341,-0.376,23.068,0.728961024,C=NCC=CCOC,0.1625,-0.321595269,26.97895207
CNCCCCOO,NNCCCCNO,0.596969388,-0.28375116,25.45654575,NNCCCCNO,0.341,-0.376,23.068,0.744015853,CNCCCCOO,0.596969388,-0.28375116,25.45654575
C=NC=CCCOO,NNCCCCNO,0.595426298,-0.362821851,18.58163352,NNCCCCNO,0.341,-0.376,23.068,0.781055413,C=NC=CCCOO,0.595426298,-0.362821851,18.58163352
CNC=CC=COO,NNCCCCNO,0.449291003,-0.34758332,12.30490738,NNCCCCNO,0.341,-0.376,23.068,0.738938736,CNC=CC=COO,0.449291003,-0.34758332,12.30490738
CNC=C=CCOO,NNCCCCNO,0.449291003,-0.287853496,18.91178934,NNCCCCNO,0.341,-0.376,23.068,0.781456419,CNC=C=CCOO,0.449291003,-0.287853496,18.91178934
COCCCCNF,NNCCCCNO,0.65433475,-0.275761201,20.26143591,NNCCCCNO,0.341,-0.376,23.068,0.710960871,COCCCCNF,0.65433475,-0.275761201,20.26143591
COCCCCOC,NNCCCCNO,0.232323967,-0.286038353,27.43335901,NNCCCCNO,0.341,-0.376,23.068,0.760972106,COCCCCOC,0.232323967,-0.286038353,27.43335901
COC=C=CCOC,NNCCCCNO,0.160958025,-0.278701875,20.82647705,NNCCCCNO,0.341,-0.376,23.068,0.705358608,COC=C=CCOC,0.160958025,-0.278701875,20.82647705
COCCCCOO,NNCCCCNO,0.67900275,-0.302810657,25.58079686,NNCCCCNO,0.341,-0.376,23.068,0.736441592,COCCCCOO,0.67900275,-0.302810657,25.58079686
COC=CC=COO,NNCCCCNO,0.502227734,-0.365215434,12.36703294,NNCCCCNO,0.341,-0.376,23.068,0.728801517,COC=CC=COO,0.502227734,-0.365215434,12.36703294
NCCCCCOO,NNCCCCNO,0.425469388,-0.193657279,18.40887376,NNCCCCNO,0.341,-0.376,23.068,0.704846718,NCCCCCOO,0.425469388,-0.193657279,18.40887376
N=CC=CCCOO,NNCCCCNO,0.423926298,-0.262490927,18.07871794,NNCCCCNO,0.341,-0.376,23.068,0.76207114,N=CC=CCCOO,0.423926298,-0.262490927,18.07871794
N=NCCCC=NO,NNCCCCNO,0.300711073,-0.195581716,17.96661001,NNCCCCNO,0.341,-0.376,23.068,0.72695635,N=NCCCC=NO,0.300711073,-0.195581716,17.96661001
NNCCCCNF,NNCCCCNO,0.441675,-0.299176504,13.08951281,NNCCCCNO,0.341,-0.376,23.068,0.711724908,NNCCCCNF,0.441675,-0.299176504,13.08951281
NNCC=CC=NF,NNCCCCNO,0.410948437,-0.373468072,12.75935699,NNCCCCNO,0.341,-0.376,23.068,0.792057764,NNCC=CC=NF,0.410948437,-0.373468072,12.75935699
N=NCCC=CON,NNCCCCNO,0.291981661,-0.377072825,6.544756406,NNCCCCNO,0.341,-0.376,23.068,0.71237396,N=NCCC=CON,0.291981661,-0.377072825,6.544756406
NNCCCCOO,NNCCCCNO,0.470296,-0.322671772,18.40887376,NNCCCCNO,0.341,-0.376,23.068,0.793757104,NNCCCCOO,0.470296,-0.322671772,18.40887376
N=NCCC=COO,NNCCCCNO,0.55609375,-0.380012117,11.8019918,NNCCCCNO,0.341,-0.376,23.068,0.704755187,N=NCCC=COO,0.55609375,-0.380012117,11.8019918
NOCC=CCN=O,NNCCCCNO,0.53509375,-0.380589509,13.15163837,NNCCCCNO,0.341,-0.376,23.068,0.731779112,NOCC=CCN=O,0.53509375,-0.380589509,13.15163837
NOCCCCON,NNCCCCNO,0.450296,-0.345344853,13.21376393,NNCCCCNO,0.341,-0.376,23.068,0.749522645,NOCCCCON,0.450296,-0.345344853,13.21376393
NOCCCCOO,NNCCCCNO,0.704933795,-0.334369167,18.47099932,NNCCCCNO,0.341,-0.376,23.068,0.72457755,NOCCCCOO,0.704933795,-0.334369167,18.47099932
NOC=C=CCOO,NNCCCCNO,0.398692889,-0.436082745,11.86411736,NNCCCCNO,0.341,-0.376,23.068,0.743942407,NOC=C=CCOO,0.398692889,-0.436082745,11.86411736
OCCCCCNF,NNCCCCNO,0.34283475,-0.121479194,18.25816577,NNCCCCNO,0.341,-0.376,23.068,0.703074828,OCCCCCNF,0.34283475,-0.121479194,18.25816577
O=CCC=CCOO,NNCCCCNO,0.494996484,-0.318996953,18.15027788,NNCCCCNO,0.341,-0.376,23.068,0.77470207,O=CCC=CCOO,0.494996484,-0.318996953,18.15027788
O=NCC=CCCF,NNCCCCNO,0.435793359,-0.296446881,13.21934738,NNCCCCNO,0.341,-0.376,23.068,0.71465449,O=NCC=CCCF,0.435793359,-0.296446881,13.21934738
ONCCCCNO,NNCCCCNO,0.170296,-0.310184143,23.50401886,NNCCCCNO,0.341,-0.376,23.068,0.768602922,ONCCCCNO,0.170296,-0.310184143,23.50401886
O=NCCC=CNO,NNCCCCNO,0.39509375,-0.34493616,11.75200943,NNCCCCNO,0.341,-0.376,23.068,0.763306809,O=NCCC=CNO,0.39509375,-0.34493616,11.75200943
O=NC=CCCNO,NNCCCCNO,0.39509375,-0.341350781,11.75200943,NNCCCCNO,0.341,-0.376,23.068,0.760128282,O=NC=CCCNO,0.39509375,-0.341350781,11.75200943
ONCCCCNF,NNCCCCNO,0.56396205,-0.291419309,18.29676584,NNCCCCNO,0.341,-0.376,23.068,0.724289504,ONCCCCNF,0.56396205,-0.291419309,18.29676584
ON=CCC=COO,NNCCCCNO,0.453386222,-0.27765501,16.679089,NNCCCCNO,0.341,-0.376,23.068,0.73786747,ON=CCC=COO,0.453386222,-0.27765501,16.679089
OOCCCCCF,NNCCCCNO,0.539423269,-0.272399563,18.53870833,NNCCCCNO,0.341,-0.376,23.068,0.720092779,OOCCCCCF,0.539423269,-0.272399563,18.53870833
OOCCC=C=CF,NNCCCCNO,0.387846222,-0.322311827,11.86411736,NNCCCCNO,0.341,-0.376,23.068,0.750245789,OOCCC=C=CF,0.387846222,-0.322311827,11.86411736
OOCCCCOO,NNCCCCNO,0.949322222,-0.323763596,23.72823472,NNCCCCNO,0.341,-0.376,23.068,0.730817393,OOCCCCOO,0.949322222,-0.323763596,23.72823472
OOC=C=CCOO,NNCCCCNO,0.579067347,-0.454732944,17.12135275,NNCCCCNO,0.341,-0.376,23.068,0.719316393,OOC=C=CCOO,0.579067347,-0.454732944,17.12135275
C=CCNNCC/C=C/CC,CO/N=C/CCNNCC=N,0.223005351,-0.339377708,13.08951281,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.708002184,C=CCNNCC/C=C/CC,0.223005351,-0.339377708,13.08951281
C=CCNN=CC=C=CCC,CO/N=C/CCNNCC=N,0.27450976,-0.3241947,12.75935699,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.740117749,C=CCNN=CC=C=CCC,0.27450976,-0.3241947,12.75935699
C=CCNN=CCC=C=CC,CO/N=C/CCNNCC=N,0.27450976,-0.290586502,12.75935699,CO/N=C/CCNNCC=N,0.341,-0.376,23.068,0.710323247,C=CCNN=CCC=C=CC,0.27450976,-0.290586502,12.75935699
